Protein,Drug,Cell_lines
Q92598,DB12695,VCAP
Q9Y266,DB12695,VCAP
Q13219,DB12695,VCAP
P17980,DB12695,VCAP
P60903,DB12695,VCAP
Q12874,DB12695,VCAP
Q969G3,DB12695,VCAP
O43399,DB12695,VCAP
P06753,DB12695,VCAP
P67936,DB12695,VCAP
P54578,DB12695,VCAP
Q04917,DB12695,VCAP
P27348,DB12695,VCAP
Q99808,DB00197,PC3
P62508,DB00197,PC3
P11474,DB00197,PC3
Q99808,DB00197,HT115
P62508,DB00197,HT115
P11474,DB00197,HT115
Q99808,DB00197,HT29
P62508,DB00197,HT29
P11474,DB00197,HT29
P08519,DB00513,MCF7
P43403,DB02010,A375
P48736,DB02010,A375
P43405,DB02010,A375
Q08881,DB02010,A375
P49137,DB02010,A375
Q04759,DB02010,A375
P43403,DB02010,A549
P48736,DB02010,A549
P43405,DB02010,A549
Q08881,DB02010,A549
P49137,DB02010,A549
Q04759,DB02010,A549
P43403,DB02010,HA1E
P48736,DB02010,HA1E
P43405,DB02010,HA1E
Q08881,DB02010,HA1E
P49137,DB02010,HA1E
Q04759,DB02010,HA1E
P43403,DB02010,HCC515
P48736,DB02010,HCC515
P43405,DB02010,HCC515
Q08881,DB02010,HCC515
P49137,DB02010,HCC515
Q04759,DB02010,HCC515
P43403,DB02010,HEPG2
P48736,DB02010,HEPG2
P43405,DB02010,HEPG2
Q08881,DB02010,HEPG2
P49137,DB02010,HEPG2
Q04759,DB02010,HEPG2
P43403,DB02010,HT29
P48736,DB02010,HT29
P43405,DB02010,HT29
Q08881,DB02010,HT29
P49137,DB02010,HT29
Q04759,DB02010,HT29
P43403,DB02010,MCF7
P48736,DB02010,MCF7
P43405,DB02010,MCF7
Q08881,DB02010,MCF7
P49137,DB02010,MCF7
Q04759,DB02010,MCF7
P43403,DB02010,PC3
P48736,DB02010,PC3
P43405,DB02010,PC3
Q08881,DB02010,PC3
P49137,DB02010,PC3
Q04759,DB02010,PC3
Q71U36,DB00518,A375
P68371,DB00518,A375
Q71U36,DB00518,A549
P68371,DB00518,A549
Q71U36,DB00518,HT29
P68371,DB00518,HT29
Q71U36,DB00518,MCF7
P68371,DB00518,MCF7
Q71U36,DB00518,NPC
P68371,DB00518,NPC
Q71U36,DB00518,HA1E
P68371,DB00518,HA1E
Q71U36,DB00518,HCC515
P68371,DB00518,HCC515
Q71U36,DB00518,PC3
P68371,DB00518,PC3
Q71U36,DB00518,VCAP
P68371,DB00518,VCAP
P08631,DB01809,ASC
P08631,DB01809,HT29
P08631,DB01809,MCF7
P08631,DB01809,NPC
P08631,DB01809,SKB
P08631,DB01809,HA1E
P08631,DB01809,HCC515
P08631,DB01809,PC3
P08631,DB01809,VCAP
P55055,DB03791,A549
P55055,DB03791,ASC
P55055,DB03791,HA1E
P55055,DB03791,HCC515
P55055,DB03791,PC3
P14555,DB00328,A375
Q8N8N7,DB00328,A375
Q9Y5Y4,DB00328,A375
P14555,DB00328,PC3
Q8N8N7,DB00328,PC3
Q9Y5Y4,DB00328,PC3
P09960,DB01197,HT29
Q05315,DB02967,A375
Q05315,DB02967,MCF7
Q05315,DB02967,VCAP
P50750,DB03496,A375
Q00534,DB03496,A375
P49336,DB03496,A375
P50750,DB03496,A549
Q00534,DB03496,A549
P49336,DB03496,A549
P50750,DB03496,ASC
Q00534,DB03496,ASC
P49336,DB03496,ASC
P50750,DB03496,HA1E
Q00534,DB03496,HA1E
P49336,DB03496,HA1E
P50750,DB03496,HCC515
Q00534,DB03496,HCC515
P49336,DB03496,HCC515
P50750,DB03496,HT29
Q00534,DB03496,HT29
P49336,DB03496,HT29
P50750,DB03496,MCF7
Q00534,DB03496,MCF7
P49336,DB03496,MCF7
P50750,DB03496,NPC
Q00534,DB03496,NPC
P49336,DB03496,NPC
P50750,DB03496,PC3
Q00534,DB03496,PC3
P49336,DB03496,PC3
P50750,DB03496,PHH
Q00534,DB03496,PHH
P49336,DB03496,PHH
P50750,DB03496,SKB
Q00534,DB03496,SKB
P49336,DB03496,SKB
P50750,DB03496,HEPG2
Q00534,DB03496,HEPG2
P49336,DB03496,HEPG2
P50750,DB03496,VCAP
Q00534,DB03496,VCAP
P49336,DB03496,VCAP
P50750,DB03496,BT20
Q00534,DB03496,BT20
P49336,DB03496,BT20
P50750,DB03496,HME1
Q00534,DB03496,HME1
P49336,DB03496,HME1
P50750,DB03496,HS578T
Q00534,DB03496,HS578T
P49336,DB03496,HS578T
P50750,DB03496,LNCAP
Q00534,DB03496,LNCAP
P49336,DB03496,LNCAP
P50750,DB03496,MCF10A
Q00534,DB03496,MCF10A
P49336,DB03496,MCF10A
P50750,DB03496,MDAMB231
Q00534,DB03496,MDAMB231
P49336,DB03496,MDAMB231
P50750,DB03496,SKBR3
Q00534,DB03496,SKBR3
P49336,DB03496,SKBR3
Q92769,DB00227,A549
Q92769,DB00227,MCF7
Q92769,DB00227,NPC
Q92769,DB00227,HA1E
Q92769,DB00227,HCC515
Q92769,DB00227,PC3
Q92769,DB00227,HEPG2
Q92769,DB00227,VCAP
O15379,DB02546,A375
Q9UBN7,DB02546,A375
O15379,DB02546,A549
Q9UBN7,DB02546,A549
O15379,DB02546,A673
Q9UBN7,DB02546,A673
O15379,DB02546,AGS
Q9UBN7,DB02546,AGS
O15379,DB02546,ASC
Q9UBN7,DB02546,ASC
O15379,DB02546,CL34
Q9UBN7,DB02546,CL34
O15379,DB02546,CORL23
Q9UBN7,DB02546,CORL23
O15379,DB02546,COV644
Q9UBN7,DB02546,COV644
O15379,DB02546,DV90
Q9UBN7,DB02546,DV90
O15379,DB02546,EFO27
Q9UBN7,DB02546,EFO27
O15379,DB02546,H1299
Q9UBN7,DB02546,H1299
O15379,DB02546,HA1E
Q9UBN7,DB02546,HA1E
O15379,DB02546,HCC15
Q9UBN7,DB02546,HCC15
O15379,DB02546,HCC515
Q9UBN7,DB02546,HCC515
O15379,DB02546,HCT116
Q9UBN7,DB02546,HCT116
O15379,DB02546,HEC108
Q9UBN7,DB02546,HEC108
O15379,DB02546,HEPG2
Q9UBN7,DB02546,HEPG2
O15379,DB02546,HT115
Q9UBN7,DB02546,HT115
O15379,DB02546,HT29
Q9UBN7,DB02546,HT29
O15379,DB02546,JHUEM2
Q9UBN7,DB02546,JHUEM2
O15379,DB02546,LOVO
Q9UBN7,DB02546,LOVO
O15379,DB02546,MCF7
Q9UBN7,DB02546,MCF7
O15379,DB02546,MDST8
Q9UBN7,DB02546,MDST8
O15379,DB02546,NCIH1694
Q9UBN7,DB02546,NCIH1694
O15379,DB02546,NCIH1836
Q9UBN7,DB02546,NCIH1836
O15379,DB02546,NCIH2073
Q9UBN7,DB02546,NCIH2073
O15379,DB02546,NCIH508
Q9UBN7,DB02546,NCIH508
O15379,DB02546,NCIH596
Q9UBN7,DB02546,NCIH596
O15379,DB02546,NEU
Q9UBN7,DB02546,NEU
O15379,DB02546,NOMO1
Q9UBN7,DB02546,NOMO1
O15379,DB02546,NPC
Q9UBN7,DB02546,NPC
O15379,DB02546,OV7
Q9UBN7,DB02546,OV7
O15379,DB02546,PC3
Q9UBN7,DB02546,PC3
O15379,DB02546,PHH
Q9UBN7,DB02546,PHH
O15379,DB02546,PL21
Q9UBN7,DB02546,PL21
O15379,DB02546,RKO
Q9UBN7,DB02546,RKO
O15379,DB02546,RMGI
Q9UBN7,DB02546,RMGI
O15379,DB02546,RMUGS
Q9UBN7,DB02546,RMUGS
O15379,DB02546,SKB
Q9UBN7,DB02546,SKB
O15379,DB02546,SKLU1
Q9UBN7,DB02546,SKLU1
O15379,DB02546,SKM1
Q9UBN7,DB02546,SKM1
O15379,DB02546,SKMEL1
Q9UBN7,DB02546,SKMEL1
O15379,DB02546,SKMEL28
Q9UBN7,DB02546,SKMEL28
O15379,DB02546,SNGM
Q9UBN7,DB02546,SNGM
O15379,DB02546,SNUC4
Q9UBN7,DB02546,SNUC4
O15379,DB02546,SNUC5
Q9UBN7,DB02546,SNUC5
O15379,DB02546,SW480
Q9UBN7,DB02546,SW480
O15379,DB02546,SW620
Q9UBN7,DB02546,SW620
O15379,DB02546,SW948
Q9UBN7,DB02546,SW948
O15379,DB02546,T3M10
Q9UBN7,DB02546,T3M10
O15379,DB02546,THP1
Q9UBN7,DB02546,THP1
O15379,DB02546,TYKNU
Q9UBN7,DB02546,TYKNU
O15379,DB02546,U937
Q9UBN7,DB02546,U937
O15379,DB02546,VCAP
Q9UBN7,DB02546,VCAP
O15379,DB02546,WSUDLCL2
Q9UBN7,DB02546,WSUDLCL2
Q02880,DB00380,A549
Q02880,DB00380,PC3
Q02880,DB00380,VCAP
P27707,DB01073,A549
P27707,DB01073,VCAP
P27707,DB01073,A375
P27707,DB01073,PC3
P12429,DB00591,A549
P08758,DB00591,A549
P09525,DB00591,A549
P12429,DB00591,HA1E
P08758,DB00591,HA1E
P09525,DB00591,HA1E
P12429,DB00591,HCC515
P08758,DB00591,HCC515
P09525,DB00591,HCC515
Q16769,DB04581,VCAP
P78368,DB03083,A549
P78368,DB03083,ASC
P78368,DB03083,HEPG2
P78368,DB03083,HT29
P78368,DB03083,MCF7
P78368,DB03083,NPC
P78368,DB03083,PHH
P78368,DB03083,HA1E
P78368,DB03083,HCC515
P78368,DB03083,PC3
P78368,DB03083,VCAP
P30291,DB04608,A375
P30291,DB04608,A549
P30291,DB04608,ASC
P30291,DB04608,HEPG2
P30291,DB04608,HT29
P30291,DB04608,MCF7
P30291,DB04608,NPC
P30291,DB04608,SKB
P30291,DB04608,HA1E
P30291,DB04608,HCC515
P30291,DB04608,PC3
P30291,DB04608,VCAP
P11509,DB04665,HEPG2
P33151,DB00480,A549
O14788,DB00480,A549
Q96SW2,DB00480,A549
P33151,DB00480,HCC515
O14788,DB00480,HCC515
Q96SW2,DB00480,HCC515
O15392,DB00206,A375
P54219,DB00206,A375
O15392,DB00206,HT29
P54219,DB00206,HT29
O15392,DB00206,MCF7
P54219,DB00206,MCF7
O15392,DB00206,HA1E
P54219,DB00206,HA1E
O15392,DB00206,HCC515
P54219,DB00206,HCC515
Q13233,DB06061,A375
Q13233,DB06061,A549
Q13233,DB06061,BT20
Q13233,DB06061,HA1E
Q13233,DB06061,HCC515
Q13233,DB06061,HEPG2
Q13233,DB06061,HS578T
Q13233,DB06061,HT29
Q13233,DB06061,MCF10A
Q13233,DB06061,MCF7
Q13233,DB06061,MDAMB231
Q13233,DB06061,SKBR3
Q99527,DB00783,VCAP
P00846,DB00783,VCAP
Q14457,DB00783,VCAP
Q99527,DB00783,HCC515
P00846,DB00783,HCC515
Q14457,DB00783,HCC515
Q99527,DB00783,PC3
P00846,DB00783,PC3
Q14457,DB00783,PC3
P10636,DB00448,MCF7
P10636,DB00448,VCAP
Q99705,DB00502,MCF7
P49674,DB06195,A549
P49674,DB06195,HEPG2
P49674,DB06195,HT29
P49674,DB06195,MCF7
P49674,DB06195,HA1E
P49674,DB06195,HCC515
P49674,DB06195,PC3
P49674,DB06195,VCAP
P49674,DB06195,A375
P49674,DB06195,BT20
P49674,DB06195,HS578T
P49674,DB06195,MDAMB231
P49674,DB06195,SKBR3
P35408,DB00917,ASC
P35408,DB00917,PC3
P35408,DB00917,VCAP
Q8WUI4,DB04297,A375
Q8WUI4,DB04297,A549
Q8WUI4,DB04297,ASC
Q8WUI4,DB04297,HA1E
Q8WUI4,DB04297,HCC515
Q8WUI4,DB04297,HEPG2
Q8WUI4,DB04297,HT29
Q8WUI4,DB04297,MCF7
Q8WUI4,DB04297,NEU
Q8WUI4,DB04297,NPC
Q8WUI4,DB04297,PC3
Q8WUI4,DB04297,PHH
Q8WUI4,DB04297,SKB
Q8WUI4,DB04297,VCAP
P05108,DB00357,HCC515
P05108,DB00357,HEPG2
P05108,DB00357,VCAP
P19099,DB00421,NPC
P19099,DB00421,VCAP
P19099,DB00421,HA1E
P19099,DB00421,MCF7
P25024,DB01009,HA1E
P25024,DB01009,VCAP
P02585,DB01023,PC3
O14649,DB00561,VCAP
Q9NPC2,DB00561,VCAP
Q96RD7,DB01032,MCF7
Q9NYV7,DB01032,MCF7
Q96RD7,DB01032,PC3
Q9NYV7,DB01032,PC3
P35869,DB00338,MCF7
Q8NEB9,DB06836,A375
Q8NEB9,DB06836,A549
Q8NEB9,DB06836,BT20
Q8NEB9,DB06836,HA1E
Q8NEB9,DB06836,HCC515
Q8NEB9,DB06836,HEPG2
Q8NEB9,DB06836,HS578T
Q8NEB9,DB06836,HT29
Q8NEB9,DB06836,MCF10A
Q8NEB9,DB06836,MCF7
Q8NEB9,DB06836,MDAMB231
Q8NEB9,DB06836,PC3
Q8NEB9,DB06836,SKBR3
Q9UNA0,DB03880,AGS
Q9UNA0,DB03880,HT29
Q9UNA0,DB03880,MCF7
Q9UNA0,DB03880,PC3
P63092,DB02587,A549
Q08462,DB02587,A549
O95622,DB02587,A549
P63092,DB02587,ASC
Q08462,DB02587,ASC
O95622,DB02587,ASC
P63092,DB02587,HT29
Q08462,DB02587,HT29
O95622,DB02587,HT29
P63092,DB02587,MCF7
Q08462,DB02587,MCF7
O95622,DB02587,MCF7
P63092,DB02587,SKB
Q08462,DB02587,SKB
O95622,DB02587,SKB
P63092,DB02587,HA1E
Q08462,DB02587,HA1E
O95622,DB02587,HA1E
P63092,DB02587,HCC515
Q08462,DB02587,HCC515
O95622,DB02587,HCC515
P63092,DB02587,PC3
Q08462,DB02587,PC3
O95622,DB02587,PC3
P63092,DB02587,VCAP
Q08462,DB02587,VCAP
O95622,DB02587,VCAP
Q9NZK7,DB00233,MCF7
O15111,DB00233,MCF7
Q13133,DB07080,ASC
Q13133,DB07080,MCF7
Q13133,DB07080,HA1E
Q13133,DB07080,HCC515
P36897,DB03921,MCF7
P36897,DB03921,HA1E
P36897,DB03921,PC3
Q9UGN5,DB07232,HEPG2
Q9UGN5,DB07232,HT115
Q9UGN5,DB07232,MCF7
Q9UGN5,DB07232,NCIH508
Q9UGN5,DB07232,PC3
Q9UGN5,DB07232,THP1
Q9UGN5,DB07232,VCAP
Q9UGN5,DB07232,A549
Q9UGN5,DB07232,HA1E
Q9UGN5,DB07232,HCC515
Q9NQS7,DB07340,A375
Q9NQS7,DB07340,ASC
Q9NQS7,DB07340,HT29
Q9NQS7,DB07340,MCF7
Q9NQS7,DB07340,PC3
Q9NQS7,DB07340,PHH
Q9NQS7,DB07340,SKB
Q9NQS7,DB07340,VCAP
Q15118,DB07403,A549
Q15118,DB07403,HEPG2
Q15118,DB07403,HT29
Q15118,DB07403,MCF7
Q15118,DB07403,PC3
Q15118,DB07403,SW620
Q15118,DB07403,THP1
Q15118,DB07403,U937
P41743,DB03777,A375
P41743,DB03777,A549
P41743,DB03777,HA1E
P41743,DB03777,HT29
P41743,DB03777,MCF7
P41743,DB03777,PC3
P41743,DB03777,VCAP
P41743,DB03777,A673
P41743,DB03777,AGS
P41743,DB03777,EFO27
P41743,DB03777,HCC515
P41743,DB03777,HEC108
P41743,DB03777,HEPG2
P41743,DB03777,LOVO
P41743,DB03777,MDST8
P41743,DB03777,NCIH1694
P41743,DB03777,NCIH2073
P41743,DB03777,NCIH596
P41743,DB03777,PL21
P41743,DB03777,RMUGS
P41743,DB03777,SKM1
P41743,DB03777,SNUC4
P41743,DB03777,SW620
P41743,DB03777,SW948
P41743,DB03777,THP1
P41743,DB03777,U937
P41743,DB03777,WSUDLCL2
Q9Y6M4,DB04751,A375
Q15418,DB04751,A375
Q9Y6M4,DB04751,A549
Q15418,DB04751,A549
Q9Y6M4,DB04751,HA1E
Q15418,DB04751,HA1E
Q9Y6M4,DB04751,HCC515
Q15418,DB04751,HCC515
Q9Y6M4,DB04751,HT29
Q15418,DB04751,HT29
Q9Y6M4,DB04751,MCF7
Q15418,DB04751,MCF7
Q9Y6M4,DB04751,PC3
Q15418,DB04751,PC3
Q9Y6M4,DB04751,VCAP
Q15418,DB04751,VCAP
P16112,DB02255,MCF7
P16112,DB02255,HA1E
P16112,DB02255,HCC515
P16112,DB02255,VCAP
Q15375,DB07970,MCF7
Q15375,DB07970,VCAP
Q15375,DB07970,HA1E
Q15375,DB07970,HCC515
Q15375,DB07970,HEPG2
Q15375,DB07970,PC3
Q96NX5,DB08009,A375
Q96NX5,DB08009,A549
Q96NX5,DB08009,CL34
Q96NX5,DB08009,COV644
Q96NX5,DB08009,H1299
Q96NX5,DB08009,HA1E
Q96NX5,DB08009,HCC515
Q96NX5,DB08009,HCT116
Q96NX5,DB08009,HT29
Q96NX5,DB08009,LOVO
Q96NX5,DB08009,MCF7
Q96NX5,DB08009,NCIH2073
Q96NX5,DB08009,PC3
Q96NX5,DB08009,RMGI
Q96NX5,DB08009,RMUGS
Q96NX5,DB08009,SKMEL28
Q96NX5,DB08009,SNU1040
Q96NX5,DB08009,SNUC4
Q96NX5,DB08009,SW480
Q96NX5,DB08009,TYKNU
Q96NX5,DB08009,VCAP
Q969V6,DB08080,A375
Q8WWL2,DB08080,A375
Q969V6,DB08080,A549
Q8WWL2,DB08080,A549
Q969V6,DB08080,ASC
Q8WWL2,DB08080,ASC
Q969V6,DB08080,HCC515
Q8WWL2,DB08080,HCC515
Q969V6,DB08080,HT29
Q8WWL2,DB08080,HT29
Q969V6,DB08080,MCF7
Q8WWL2,DB08080,MCF7
Q969V6,DB08080,PC3
Q8WWL2,DB08080,PC3
Q969V6,DB08080,PHH
Q8WWL2,DB08080,PHH
Q969V6,DB08080,SKB
Q8WWL2,DB08080,SKB
Q969V6,DB08080,VCAP
Q8WWL2,DB08080,VCAP
Q969V6,DB08080,HA1E
Q8WWL2,DB08080,HA1E
O75116,DB08162,A375
O75116,DB08162,HA1E
P15151,DB03203,A375
P15151,DB03203,A549
P15151,DB03203,HA1E
P15151,DB03203,MCF7
P15151,DB03203,PC3
Q460N3,DB08348,A375
Q460N3,DB08348,HA1E
Q460N3,DB08348,HCC515
Q460N3,DB08348,HT29
Q460N3,DB08348,MCF7
Q460N3,DB08348,SKM1
Q460N3,DB08348,SKMEL28
Q460N3,DB08348,SW620
Q460N3,DB08348,VCAP
Q13555,DB06616,A549
P36507,DB06616,A549
Q9Y2U5,DB06616,A549
Q13555,DB06616,ASC
P36507,DB06616,ASC
Q9Y2U5,DB06616,ASC
Q13555,DB06616,HA1E
P36507,DB06616,HA1E
Q9Y2U5,DB06616,HA1E
Q13555,DB06616,HCC515
P36507,DB06616,HCC515
Q9Y2U5,DB06616,HCC515
Q13555,DB06616,HEPG2
P36507,DB06616,HEPG2
Q9Y2U5,DB06616,HEPG2
Q13555,DB06616,HT29
P36507,DB06616,HT29
Q9Y2U5,DB06616,HT29
Q13555,DB06616,MCF7
P36507,DB06616,MCF7
Q9Y2U5,DB06616,MCF7
Q13555,DB06616,PC3
P36507,DB06616,PC3
Q9Y2U5,DB06616,PC3
Q13555,DB06616,PHH
P36507,DB06616,PHH
Q9Y2U5,DB06616,PHH
Q13555,DB06616,SKB
P36507,DB06616,SKB
Q9Y2U5,DB06616,SKB
Q13555,DB06616,VCAP
P36507,DB06616,VCAP
Q9Y2U5,DB06616,VCAP
Q13555,DB06616,A375
P36507,DB06616,A375
Q9Y2U5,DB06616,A375
P61024,DB00472,A375
P61024,DB00472,A549
P61024,DB00472,MCF7
P61024,DB00472,HEPG2
P61024,DB00472,PC3
P61024,DB00472,VCAP
Q14697,DB00491,VCAP
Q8TET4,DB00491,VCAP
P57059,DB08912,A375
Q8NG66,DB08912,A375
P53667,DB08912,A375
P57059,DB08912,A549
Q8NG66,DB08912,A549
P53667,DB08912,A549
P57059,DB08912,HA1E
Q8NG66,DB08912,HA1E
P53667,DB08912,HA1E
P57059,DB08912,HCC515
Q8NG66,DB08912,HCC515
P53667,DB08912,HCC515
P57059,DB08912,HEPG2
Q8NG66,DB08912,HEPG2
P53667,DB08912,HEPG2
P57059,DB08912,HT29
Q8NG66,DB08912,HT29
P53667,DB08912,HT29
P57059,DB08912,MCF7
Q8NG66,DB08912,MCF7
P53667,DB08912,MCF7
P57059,DB08912,PC3
Q8NG66,DB08912,PC3
P53667,DB08912,PC3
Q15303,DB08916,A549
Q15303,DB08916,ASC
Q15303,DB08916,HA1E
Q15303,DB08916,HCC515
Q15303,DB08916,HEPG2
Q15303,DB08916,HT29
Q15303,DB08916,MCF7
Q15303,DB08916,PC3
Q15303,DB08916,SKB
Q15303,DB08916,VCAP
Q96S37,DB01138,MCF7
P08686,DB01026,MCF7
P08686,DB01026,PC3
P08686,DB01026,VCAP
P50993,DB01092,A375
P13637,DB01092,A375
P50993,DB01092,A549
P13637,DB01092,A549
P50993,DB01092,ASC
P13637,DB01092,ASC
P50993,DB01092,HEPG2
P13637,DB01092,HEPG2
P50993,DB01092,HT29
P13637,DB01092,HT29
P50993,DB01092,MCF7
P13637,DB01092,MCF7
P50993,DB01092,NEU
P13637,DB01092,NEU
P50993,DB01092,NPC
P13637,DB01092,NPC
P50993,DB01092,SKB
P13637,DB01092,SKB
P50993,DB01092,HA1E
P13637,DB01092,HA1E
P50993,DB01092,PC3
P13637,DB01092,PC3
P29973,DB04209,MCF7
P29973,DB04209,PC3
P36956,DB03756,A375
P36956,DB03756,HT29
Q9HC97,DB11156,MCF7
P07288,DB00834,MCF7
P07288,DB00834,VCAP
Q99623,DB06774,A375
Q99623,DB06774,A549
Q99623,DB06774,HA1E
Q99623,DB06774,HCC515
Q99623,DB06774,OV7
Q99623,DB06774,PC3
Q99623,DB06774,VCAP
Q9UJU2,DB00903,MCF7
Q9UJU2,DB00903,VCAP
